                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1263,                 1.3534,                 1.1732,                0.67334,                0.22222,                0.35386,                0.23886,                 1.3818,                 7.8132,                 1.4683,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.0669,                 1.2979,                 1.1013,                0.55135,                0.44444,                0.44877,                0.32153,                 1.2321,                 8.4146,                  1.387,             0.00091549,             0.00091549,             0.00091549
                     36,                0.96679,                 1.2456,                 1.1217,                0.56925,                0.33333,                0.38762,                0.31593,                 1.1219,                 8.2438,                 1.3117,             0.00092797,             0.00092797,             0.00092797
                     37,                0.95106,                 1.0796,                  1.092,                0.56925,                0.33333,                0.38762,                0.31593,                 1.1219,                 8.2438,                 1.3117,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.2126,                 1.3956,                 1.3185,                0.47784,                0.22222,                0.31955,                0.26083,                 1.1207,                 7.5375,                 1.3312,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.0214,                  1.134,                 1.0768,                0.33281,                0.22222,                0.22526,                0.18087,                 1.0945,                 6.4301,                 1.4479,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.0209,                 1.1216,                 1.1475,                0.33281,                0.22222,                0.22526,                0.18087,                 1.0945,                 6.4301,                 1.4479,             0.00096996,             0.00096996,             0.00096996
                     41,                  1.077,                 1.3063,                  1.159,                0.14726,                0.33333,                0.12247,                0.09157,                  1.222,                 5.2981,                 1.4812,             0.00097848,             0.00097848,             0.00097848
                     42,                  1.042,                 1.2289,                 1.1799,                0.31444,                0.44444,                 0.1749,                0.11247,                 1.3471,                 4.9364,                 1.4192,             0.00098621,             0.00098621,             0.00098621
                     43,                  1.069,                 1.3499,                 1.2757,                0.31444,                0.44444,                 0.1749,                0.11247,                 1.3471,                 4.9364,                 1.4192,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.0982,                 1.2046,                  1.112,                0.68836,                0.44444,                0.47365,                0.36465,                 1.3388,                 4.5496,                 1.4255,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.0461,                 1.0781,                 1.1118,                0.68836,                0.44444,                0.47365,                0.36465,                 1.3388,                 4.5496,                 1.4255,              0.0010046,              0.0010046,              0.0010046
